Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_,Automation_Risk_,Location,Gender_Diversity_
"Engineer, electronics",Finance,Increasing,Low,76440.62,Associate Degree,8,3014,8942,85.38,49.49,USA,26.32
"Chemist, analytical",Transportation,Decreasing,Low,87674.27,Masters Degree,10,6230,2535,35.54,30.21,USA,35.61
Associate Professor,Manufacturing,Decreasing,Moderate,78382.81,Masters Degree,9,7581,7579,55.44,41.81,Germany,69
Speech and language therapist,Transportation,Decreasing,Moderate,86088.24,Masters Degree,14,8177,5156,58.9,44.9,Australia,52.23
"Therapist, occupational",Retail,Decreasing,Low,29267.12,Associate Degree,6,9431,6826,77.46,77.88,Brazil,56.44
Insurance claims handler,IT,Decreasing,Moderate,90762.27,High School,16,9403,454,53.59,57.58,India,56.53
Claims inspector/assessor,Finance,Decreasing,High,104572.21,Bachelors Degree,18,8228,8508,72.44,61.06,Brazil,74.3
Rural practice surveyor,Healthcare,Decreasing,Moderate,38656.37,High School,5,7236,3745,53.29,71.12,Brazil,74.73
Games developer,Manufacturing,Increasing,Low,51855.78,High School,8,2705,9236,54.71,50.27,Germany,37.43
Comptroller,Entertainment,Decreasing,Low,112535.11,Masters Degree,20,7605,675,77.76,44.46,UK,29.74
Civil Service fast streamer,Retail,Decreasing,Moderate,57745.19,Associate Degree,16,2276,1427,23.53,70.76,UK,50.43
"Designer, exhibition/display",Entertainment,Decreasing,Low,39059.68,Associate Degree,0,9905,8294,42.29,59.01,India,37.33
Diagnostic radiographer,Transportation,Decreasing,Low,28000,High School,0,5202,1942,62.65,91.4,Germany,71.33
Management consultant,Entertainment,Increasing,Moderate,109767.83,Masters Degree,20,1412,4637,58.07,43.9,Germany,67.94
Pension scheme manager,Retail,Decreasing,Moderate,51034.09,Bachelors Degree,13,3517,3499,66.63,70,USA,32.62
Network engineer,Retail,Decreasing,High,83458.19,PhD,17,9963,1031,60.04,52.82,Canada,64.5
Fine artist,Manufacturing,Decreasing,Moderate,89712.07,Bachelors Degree,16,7649,5284,71.56,62.01,Germany,60.59
Biomedical scientist,Finance,Decreasing,High,53624.36,High School,8,8595,3168,70.07,94.93,China,43.67
"Designer, blown glass/stained glass",Retail,Increasing,Low,65422.91,Masters Degree,13,2243,7703,55.24,55.22,China,47.77
Public librarian,Finance,Increasing,High,50893.02,Associate Degree,4,6659,8183,82.19,76.25,India,78.22
Production manager,Retail,Decreasing,Low,42158.38,Masters Degree,1,723,1168,48.13,65.17,Germany,75.24
Ceramics designer,Manufacturing,Increasing,High,28000,High School,2,690,7950,51.74,80.96,Canada,49.04
Trade union research officer,Entertainment,Decreasing,High,82068.73,Masters Degree,12,9053,8381,52.45,55.72,Australia,51
Animal technologist,Transportation,Increasing,High,64862.89,PhD,0,4740,7617,66.74,46.39,Australia,41.57
"Buyer, retail",IT,Increasing,Moderate,111879.84,Masters Degree,13,3736,9602,92.98,47.79,Brazil,50.84
English as a foreign language teacher,IT,Decreasing,Moderate,93386.88,PhD,10,2855,2364,80.84,39.62,India,49.91
Environmental education officer,Entertainment,Decreasing,Low,80878.7,Bachelors Degree,14,5447,5165,64.25,57.24,Brazil,48.66
Economist,Education,Decreasing,Moderate,76614.57,Masters Degree,14,9558,4599,62.65,69.23,Brazil,57.58
Herpetologist,Finance,Increasing,High,99456.38,Masters Degree,16,2086,7987,80.16,72.85,Canada,31.24
"Conservation officer, nature",Finance,Decreasing,High,91123.89,PhD,7,5525,1659,100,41.39,Brazil,23.24
Surgeon,Education,Decreasing,Moderate,101883.33,PhD,18,8133,6379,63.71,55.35,UK,47.92
Secretary/administrator,IT,Increasing,High,64494.29,Bachelors Degree,3,1886,8037,100,72.46,Canada,29.05
"Merchandiser, retail",Healthcare,Decreasing,Moderate,94795.6,Masters Degree,14,9439,5768,80.28,37.78,India,42.34
Adult nurse,Healthcare,Increasing,Low,93188.18,PhD,11,2550,8019,45.57,32.98,India,44.97
Financial controller,Entertainment,Decreasing,Moderate,63789.41,Associate Degree,16,9883,9158,78.29,49.84,Canada,22.22
Chief Financial Officer,Transportation,Increasing,Moderate,35409.62,High School,1,3219,7597,58.28,86.64,Brazil,60.15
Personnel officer,Education,Decreasing,Low,56676.55,Bachelors Degree,6,2614,3083,60.66,47.38,UK,46.8
Airline pilot,IT,Decreasing,Moderate,118058.64,PhD,16,7954,172,81.71,30.55,India,33.64
Environmental education officer,Finance,Decreasing,Moderate,65184.71,Associate Degree,10,8794,6293,88.09,69.61,Canada,37.39
"Investment banker, operational",IT,Decreasing,Low,77462.26,Associate Degree,6,6377,863,49.69,46.34,Brazil,47.77
"Buyer, retail",Retail,Increasing,Moderate,73347.82,Masters Degree,9,4882,7565,42.46,75.64,UK,21.26
"Engineer, electronics",Education,Increasing,Low,72368.43,Bachelors Degree,16,423,1322,28.06,59.31,India,74.38
Retail banker,Entertainment,Decreasing,Low,71556.11,Masters Degree,0,4120,1245,56.92,66.87,India,51.05
Race relations officer,Finance,Increasing,Moderate,59416.74,Bachelors Degree,0,3072,9902,100,49.33,USA,62.35
Recycling officer,Transportation,Decreasing,Moderate,83982.85,Masters Degree,15,7084,8488,62.9,48.8,India,52.86
"Production assistant, television",Entertainment,Decreasing,Low,79450.1,Bachelors Degree,12,1817,2805,64.89,51.44,Australia,50.34
Immigration officer,Entertainment,Decreasing,Low,35423.55,High School,3,6355,6108,46.52,56.69,Brazil,54.9
Dietitian,Transportation,Decreasing,High,93939.42,Masters Degree,14,8402,3337,59.17,48.96,USA,78.51
"Designer, exhibition/display",Transportation,Decreasing,Moderate,81972.57,Bachelors Degree,14,4420,2222,29.11,78.2,Germany,65.29
Art therapist,Healthcare,Decreasing,Moderate,110388.29,PhD,16,6913,7042,77.8,38.4,Brazil,45.06
Lobbyist,Manufacturing,Decreasing,Low,32976.97,High School,8,7281,7436,57.65,83.17,USA,37.63
Field trials officer,Retail,Decreasing,High,61360.86,Masters Degree,12,5469,6661,70.74,68.48,Australia,21.05
Sports coach,Transportation,Decreasing,High,44943.45,High School,8,4447,2385,55.16,100,Australia,65.82
"Psychologist, sport and exercise",Transportation,Increasing,Moderate,49562.45,Bachelors Degree,2,1541,9089,49.12,49.12,China,63.98
"Psychologist, educational",Transportation,Increasing,Low,42367.95,High School,2,834,5774,57.69,55.43,UK,22.36
Equality and diversity officer,Transportation,Decreasing,Low,44507.79,Associate Degree,2,6816,1510,48.54,64.82,Brazil,63.49
Psychotherapist,IT,Decreasing,Moderate,73072.55,PhD,2,9736,3589,90.78,58.99,Brazil,66.29
"Restaurant manager, fast food",IT,Decreasing,Moderate,63900.73,Bachelors Degree,1,2821,3952,100,48.71,Canada,38.85
Horticultural consultant,Retail,Decreasing,Moderate,75750.11,Masters Degree,14,6949,1455,74.13,59.53,USA,33.42
Information officer,Transportation,Increasing,Low,80605.37,PhD,6,263,9144,54.84,44.51,UK,69.1
Public relations officer,Education,Increasing,Low,47763.27,High School,16,2303,8911,55.65,85.8,China,34.92
"Designer, multimedia",Manufacturing,Decreasing,Moderate,64496.1,High School,17,9911,6590,66.16,81.9,Germany,25.89
"Merchandiser, retail",Retail,Increasing,Low,29451.99,Associate Degree,5,1153,8044,30.91,72.67,UK,49.9
Environmental consultant,Retail,Decreasing,Moderate,70716.34,Masters Degree,11,9840,1459,60.72,55.48,Brazil,61.9
"Production designer, theatre/television/film",Education,Decreasing,Moderate,91455.59,Masters Degree,18,8483,7514,60.74,57.76,India,30.08
Lawyer,Finance,Decreasing,Moderate,64422.44,High School,3,9984,2092,54.71,67.59,China,78.45
Quality manager,Healthcare,Decreasing,Moderate,105948,Masters Degree,20,4337,137,44.59,36.23,Canada,50.32
Systems developer,IT,Increasing,High,81709.53,Bachelors Degree,8,1076,7662,67.63,46.54,Germany,69.8
Recruitment consultant,Healthcare,Increasing,Moderate,94273.67,PhD,18,377,2489,60.07,28.77,Canada,76.77
Hotel manager,Entertainment,Decreasing,Moderate,98176.28,PhD,19,5406,477,65.21,75.18,India,60.65
Art gallery manager,Finance,Decreasing,High,80359.26,Masters Degree,9,4104,3014,67.73,59.17,USA,21.49
Quantity surveyor,Entertainment,Decreasing,High,64764.2,Associate Degree,11,7587,3572,42.26,74.67,Australia,29.29
Education administrator,Healthcare,Decreasing,Moderate,46986.5,High School,10,4175,4519,47.13,56.26,China,27.97
Chartered loss adjuster,Education,Decreasing,Moderate,72648.42,Masters Degree,11,9472,8451,86.58,46.49,Brazil,41.82
Mental health nurse,Manufacturing,Decreasing,Low,88157.12,Masters Degree,14,8255,248,50.53,53.39,USA,71.56
Data processing manager,Transportation,Decreasing,Low,62351.31,Bachelors Degree,5,5660,3363,55.14,52.18,China,79.94
Financial manager,Healthcare,Increasing,Low,103256.81,Bachelors Degree,19,410,9341,60.75,33.79,USA,71.23
Community arts worker,IT,Decreasing,Moderate,92504.03,Masters Degree,8,4662,470,100,26.81,Australia,41
"Horticulturist, amenity",Transportation,Decreasing,High,85739.89,PhD,12,5625,4855,64.31,68.76,UK,70.35
Public librarian,Entertainment,Decreasing,Low,94713.2,PhD,7,3592,4264,88.72,30.65,Canada,70.65
Armed forces training and education officer,Entertainment,Increasing,High,110364.86,PhD,19,343,3720,39.33,56.87,Brazil,23.22
Patent attorney,Entertainment,Decreasing,High,57469.02,Bachelors Degree,6,2341,488,66.85,69.3,Brazil,25.84
Fashion designer,Healthcare,Decreasing,Low,55383.07,High School,8,3660,5655,37.9,76.38,UK,69.08
Herbalist,Entertainment,Increasing,High,54016.25,Bachelors Degree,2,3734,5272,52.27,88.16,Canada,78.57
Product manager,Entertainment,Decreasing,High,89629.05,PhD,11,3597,2738,55.33,56.84,Brazil,28.28
Administrator,Finance,Increasing,Low,97016.54,PhD,14,1463,9304,75.93,48.35,Germany,73.07
"Editor, magazine features",Entertainment,Increasing,High,71171.94,High School,15,3598,7753,66.51,69.3,Brazil,63.46
Legal executive,Transportation,Decreasing,Moderate,89474.76,Masters Degree,12,9632,8048,44.1,58.19,China,23.73
Camera operator,Manufacturing,Decreasing,High,73162.45,Bachelors Degree,10,6506,436,46.21,76,USA,36.36
TEFL teacher,Transportation,Decreasing,High,30165.67,High School,3,6486,1566,46.47,90.71,India,41.81
Automotive engineer,Manufacturing,Decreasing,Moderate,57577.26,Bachelors Degree,1,6552,5426,45.88,43.77,China,61.08
Aid worker,Manufacturing,Increasing,High,95111.97,Bachelors Degree,18,2847,8281,60.37,78.25,UK,75.5
"Engineer, land",Manufacturing,Decreasing,Low,77263.55,Bachelors Degree,14,9953,8246,27.66,63.04,India,59.67
Petroleum engineer,Transportation,Increasing,Moderate,57924.51,Associate Degree,12,456,6044,39.42,90.88,Brazil,59.74
Chief Strategy Officer,Entertainment,Increasing,High,110579.91,PhD,20,4549,9882,50.6,58.76,USA,21.32
Town planner,Education,Decreasing,High,43506.57,High School,14,4861,6512,37,100,India,61.43
Teaching laboratory technician,Manufacturing,Increasing,High,70070.71,High School,13,2512,8159,70.62,77.46,China,51.62
Estate agent,Retail,Decreasing,High,59175.65,Associate Degree,17,1763,2734,46.45,83.47,Australia,62.7
Art therapist,Entertainment,Decreasing,Moderate,87526.2,PhD,4,2743,1090,54.68,48.57,UK,67.55
Ambulance person,Healthcare,Decreasing,Low,96659.54,Masters Degree,16,9420,5222,61.64,45.58,Australia,53.26
Insurance underwriter,Manufacturing,Increasing,Moderate,31272.89,High School,2,1002,6313,65.27,61.28,Australia,29.86
Medical laboratory scientific officer,Entertainment,Decreasing,Low,65823.11,High School,18,2558,2510,40.28,90.72,Brazil,67.52
"Civil engineer, consulting",Finance,Decreasing,Low,63838.76,Associate Degree,8,1647,3011,86.79,45.16,UK,40.62
"Designer, multimedia",Entertainment,Decreasing,Low,83028.35,Bachelors Degree,16,8109,3180,36.79,58.61,Australia,21.4
IT trainer,Manufacturing,Increasing,Moderate,82737.49,PhD,7,3978,9603,66.8,48.75,China,48.36
Audiological scientist,Healthcare,Increasing,Moderate,80711.55,Bachelors Degree,10,770,5193,55.39,59.91,UK,40.24
Race relations officer,Finance,Decreasing,High,89310.93,PhD,11,9207,282,76.2,54.44,Germany,59.81
Wellsite geologist,Entertainment,Increasing,Low,104816.99,PhD,13,3416,5048,36.17,52.53,Canada,27.12
Corporate treasurer,Finance,Increasing,Moderate,100264.2,Associate Degree,20,224,4486,100,59.23,India,46.79
Medical technical officer,Transportation,Decreasing,Moderate,49173.28,Associate Degree,8,6956,8975,66.7,74.06,India,34.24
"Education officer, environmental",Education,Decreasing,High,40898.83,High School,10,7692,3887,57.92,88.75,UK,43.43
Learning disability nurse,IT,Decreasing,Low,97933.9,Masters Degree,11,438,1678,100,33.3,India,61.13
"Designer, blown glass/stained glass",Retail,Decreasing,Low,70967.32,Masters Degree,11,5918,5042,67.05,44.4,USA,29.29
"Engineer, technical sales",Finance,Increasing,High,75365.76,High School,13,2372,3747,65.93,82.48,India,50.46
Research scientist (physical sciences),Education,Increasing,Low,77539.26,Associate Degree,19,4943,6738,55.98,45.86,India,64.92
Copy,Entertainment,Decreasing,Moderate,74404.11,Masters Degree,5,5204,3301,81.86,44.05,USA,25.71
Clothing/textile technologist,Entertainment,Decreasing,Low,28000,Associate Degree,0,9837,7333,44.9,77.59,USA,79.32
Adult guidance worker,Healthcare,Decreasing,High,86463,High School,18,6844,4885,45.5,89.69,India,35.42
Sports administrator,Education,Increasing,High,52490.17,Masters Degree,6,1239,9214,64.75,64.67,India,67.51
"Production assistant, television",Finance,Decreasing,Moderate,81822.44,Masters Degree,6,6828,7635,100,50.15,Canada,77.56
"Nurse, mental health",Education,Increasing,Low,45623.47,Associate Degree,4,5471,8933,63.1,42.62,China,64.38
"Engineer, technical sales",IT,Decreasing,Low,80446.38,Bachelors Degree,13,9318,3638,73.18,57.91,China,50.87
Structural engineer,Manufacturing,Increasing,Moderate,47248.61,Associate Degree,5,6256,9900,54.61,78.9,USA,24.4
Academic librarian,IT,Decreasing,Moderate,72021.66,High School,11,8564,1307,81.54,46.07,India,23.58
Printmaker,Transportation,Increasing,Moderate,58156.72,Bachelors Degree,8,1303,7118,65.77,56.91,Australia,48.91
Financial risk analyst,Manufacturing,Decreasing,Moderate,79808.34,Masters Degree,5,5909,2699,38.35,50.01,UK,23.73
Teaching laboratory technician,Entertainment,Decreasing,Low,28000,High School,2,7381,675,29.8,100,Brazil,68.28
Technical brewer,Manufacturing,Decreasing,Low,106609.91,PhD,17,9419,7636,60.38,27.32,India,32.14
"Designer, industrial/product",IT,Decreasing,Moderate,99214.58,Bachelors Degree,13,8230,2680,85.7,62.92,USA,34.67
"Producer, television/film/video",Entertainment,Increasing,Moderate,91125.51,PhD,7,6239,9540,49.27,51.33,USA,33.61
"Designer, fashion/clothing",Entertainment,Decreasing,High,73804.9,Masters Degree,17,3205,1690,60.09,71.48,Canada,54.58
Civil Service administrator,Manufacturing,Decreasing,Moderate,94835.82,Bachelors Degree,19,5435,4756,56.36,45.07,USA,23.28
"Restaurant manager, fast food",Healthcare,Decreasing,Moderate,78366.38,PhD,5,6913,2205,89.52,37.49,Germany,56.25
Data processing manager,Transportation,Increasing,High,83770.65,Bachelors Degree,15,2481,8121,50.05,74.85,Australia,65.03
Financial risk analyst,Manufacturing,Increasing,High,38668.68,High School,6,2467,9273,32.52,79.89,USA,49.16
Data scientist,Finance,Decreasing,Low,109805.06,Masters Degree,13,8275,2581,100,44.22,Canada,31.07
"Conservator, museum/gallery",Manufacturing,Decreasing,Moderate,48604.14,Associate Degree,5,6115,2453,44.73,73.63,Canada,67.45
Archivist,IT,Increasing,Moderate,120251.9,PhD,16,4147,6951,98.28,16.64,Brazil,54.41
Press sub,IT,Decreasing,Low,96013.43,Associate Degree,19,9695,4726,99.94,58.1,China,37.84
Pathologist,Education,Decreasing,High,70321.82,Bachelors Degree,16,3187,3297,81.35,64.76,India,35.93
"Surveyor, rural practice",Finance,Decreasing,High,95473.12,Bachelors Degree,20,7907,1573,88.29,74.34,Australia,59.11
"Engineer, land",IT,Increasing,High,87639.77,High School,18,1308,8084,62.51,63.58,India,35.83
"Psychotherapist, dance movement",Retail,Decreasing,High,73470.65,PhD,14,9346,9099,68.16,48.76,Germany,44.57
Chief Strategy Officer,IT,Increasing,High,108227.87,PhD,13,6589,7355,90.22,52.64,Australia,39.36
Research scientist (maths),Finance,Decreasing,Low,99444.05,Masters Degree,8,4847,5507,73.11,36.81,Canada,32.49
Film/video editor,Manufacturing,Decreasing,High,56410.03,Bachelors Degree,4,6418,4017,70.33,72.15,Germany,68.69
Dance movement psychotherapist,Healthcare,Decreasing,Low,85285.45,Associate Degree,16,2931,244,65.88,57.41,Australia,69.3
"Psychologist, occupational",Retail,Decreasing,Low,28000,High School,6,3021,1217,70.52,65.92,India,31.69
Radio broadcast assistant,Manufacturing,Decreasing,Moderate,73488.72,Masters Degree,5,9856,5005,62.24,55.87,USA,20.87
Fish farm manager,Finance,Increasing,High,121941.74,PhD,17,4733,7574,67.16,75.72,USA,56.8
Clinical molecular geneticist,Transportation,Increasing,High,55132.78,High School,8,1912,6970,78.11,82.94,UK,57.8
Homeopath,Retail,Decreasing,High,61613.34,Associate Degree,19,326,2532,31.91,89.33,China,21.64
Higher education careers adviser,Manufacturing,Increasing,High,72000.02,Associate Degree,11,6126,8156,39.63,80.29,USA,28.88
Environmental consultant,Finance,Decreasing,Moderate,64890.32,High School,14,6094,5157,72.14,72.74,Canada,41.93
"Engineer, site",Healthcare,Increasing,Low,47198.55,High School,0,426,8032,58.98,67.03,USA,78.86
IT technical support officer,Manufacturing,Increasing,Moderate,75833.95,High School,13,1588,9995,45.49,85.38,Germany,34.07
"Production assistant, television",Education,Decreasing,Moderate,53165.11,Bachelors Degree,8,9711,466,65.4,64.26,China,55.69
Learning disability nurse,IT,Decreasing,Low,84930.81,Associate Degree,13,9475,4549,66.09,75.48,Brazil,52.94
Heritage manager,Healthcare,Decreasing,Low,86316.13,Masters Degree,12,8887,9208,55.46,37.52,USA,38.83
Passenger transport manager,Retail,Increasing,High,28000,High School,3,3565,8213,63.57,85.98,Canada,59.62
"Sound technician, broadcasting/film/video",IT,Increasing,Low,83606.17,PhD,1,3472,9884,100,31.53,India,23.51
"Journalist, newspaper",Manufacturing,Decreasing,High,39965.62,High School,4,2505,1497,61.99,94.38,India,79.52
Corporate investment banker,Entertainment,Decreasing,Low,75632.3,Associate Degree,13,3032,3185,59.93,66.74,Canada,74.22
Fish farm manager,Education,Decreasing,Low,60307.64,Bachelors Degree,7,1927,1158,46.15,58.04,China,61.86
Rural practice surveyor,Retail,Decreasing,Moderate,54602.49,Masters Degree,3,5527,4900,46.93,60.87,Germany,21.88
Arboriculturist,IT,Increasing,Low,59740.39,Associate Degree,0,2303,9260,94.54,62.67,UK,73.71
Chartered accountant,IT,Increasing,Moderate,77487.47,Bachelors Degree,8,760,9135,87.28,58.53,Australia,79.04
Quarry manager,IT,Decreasing,Moderate,59817.91,Associate Degree,3,8525,9349,69.7,50.74,UK,62.26
Clinical molecular geneticist,Entertainment,Decreasing,Moderate,117808.44,PhD,19,3880,3269,75.32,39.82,UK,57.39
Furniture designer,Healthcare,Decreasing,Moderate,102086.97,PhD,16,6696,5775,53.23,53.4,China,44.14
Analytical chemist,Healthcare,Increasing,High,85758.38,Associate Degree,20,6066,8463,74.01,67.56,Canada,64.52
Animal nutritionist,IT,Decreasing,Low,133873.25,PhD,18,9394,9432,84.71,15.74,UK,35.43
Warden/ranger,Transportation,Decreasing,Low,52052.52,Masters Degree,1,3987,4472,49.18,42.68,India,44.09
Horticultural therapist,Manufacturing,Decreasing,Low,94353.6,Bachelors Degree,16,9127,6233,47.17,53.55,India,68.95
Animal nutritionist,Entertainment,Increasing,Moderate,80051.71,Masters Degree,19,4055,7349,54.39,69.78,UK,30.59
"Engineer, civil (consulting)",Education,Decreasing,High,53144.65,PhD,0,8890,229,71.2,49.18,China,43.35
Community arts worker,Finance,Decreasing,High,76099.6,Associate Degree,15,4844,4036,80.97,61.37,India,63.67
Learning disability nurse,Education,Decreasing,High,46837.9,Bachelors Degree,3,2520,3131,80.31,69.28,China,41.76
Dance movement psychotherapist,Retail,Increasing,High,34483.33,Associate Degree,12,124,7971,51.72,87.94,Germany,20.35
Air broker,Retail,Decreasing,Low,48989.55,PhD,4,2919,1960,46.5,59.84,India,37.4
Bonds trader,Healthcare,Decreasing,Moderate,87591.35,Associate Degree,16,5245,2502,56.27,65.6,Canada,21.57
Chief Marketing Officer,Transportation,Increasing,High,76101.99,PhD,1,5637,7898,92.41,27.02,India,30.7
"Psychologist, occupational",Retail,Increasing,High,53040.98,Bachelors Degree,13,2542,4773,55.79,58.41,UK,71.61
"Programmer, applications",IT,Decreasing,Low,49333.45,High School,0,8942,3468,54.01,72.23,Australia,79.38
Heritage manager,Entertainment,Decreasing,Moderate,55628.15,Associate Degree,5,6091,2083,40.06,58.35,India,21.78
Product/process development scientist,Transportation,Decreasing,Moderate,54553.29,Bachelors Degree,7,8699,2458,60.93,78.94,Australia,66.26
Jewellery designer,Education,Decreasing,Low,31584.39,Associate Degree,1,7708,1601,24.68,66.59,Brazil,61.69
"Engineer, technical sales",Finance,Decreasing,High,45964.87,High School,4,6369,3689,100,77.37,USA,41.42
Social worker,Entertainment,Increasing,High,72954.78,Bachelors Degree,14,5196,8772,49.88,82.52,China,21.4
"Psychologist, educational",Transportation,Decreasing,Low,82870.37,PhD,10,9384,5461,18.49,38.12,India,43.32
Licensed conveyancer,Finance,Decreasing,High,89496.37,Bachelors Degree,11,4832,5609,100,61.3,India,38.94
Trade mark attorney,Education,Decreasing,Low,44388.01,Bachelors Degree,1,3408,3627,78.08,44.86,Brazil,77.9
"Merchandiser, retail",Transportation,Decreasing,Moderate,38427.47,Associate Degree,0,6145,8041,44.14,83.4,Brazil,66.02
Company secretary,Finance,Decreasing,High,88447.11,Masters Degree,10,967,3245,75.57,93.1,UK,73.81
Personal assistant,Entertainment,Increasing,Moderate,94348.55,PhD,15,3267,6891,60.58,29.36,UK,20.86
"Geneticist, molecular",Manufacturing,Decreasing,Moderate,116528.49,PhD,20,9110,3792,86.66,20.7,Germany,20.46
Naval architect,Finance,Decreasing,Moderate,90197.95,PhD,10,6766,6842,92.21,56.86,Canada,36.63
Television production assistant,Transportation,Increasing,Low,99452.85,PhD,17,5154,7820,40.72,38.29,Germany,68.03
Translator,Entertainment,Decreasing,High,63843.99,Associate Degree,11,9339,5656,72.43,69.22,India,38.15
Secretary/administrator,Education,Increasing,Moderate,28000,High School,3,463,4082,57.51,95.01,China,58.64
Cytogeneticist,Entertainment,Decreasing,Low,48576.45,High School,8,9129,8696,29.14,73.41,Germany,54.89
"Doctor, hospital",Healthcare,Decreasing,Low,83195.15,Masters Degree,15,5965,4613,48.61,34.24,China,48.29
Race relations officer,Transportation,Increasing,Low,84108.69,Associate Degree,19,3538,5899,50.43,48.75,USA,79.36
Patent attorney,Manufacturing,Decreasing,High,49280.21,Bachelors Degree,4,5952,7330,53.65,82.65,Germany,55.52
Film/video editor,Retail,Increasing,High,71576.73,Masters Degree,6,6364,7513,72.87,52.74,Canada,37.31
Chief Executive Officer,Transportation,Decreasing,Moderate,67867.09,Masters Degree,6,5010,4598,75.5,42.99,China,21.35
Housing manager/officer,Transportation,Decreasing,High,68370.58,Associate Degree,13,9664,5837,58.65,66.8,USA,20.3
Agricultural engineer,IT,Increasing,Low,100852.63,PhD,6,9604,9747,100,7.6,Brazil,54.58
Chartered legal executive (England and Wales),Education,Increasing,Moderate,39944.17,Bachelors Degree,2,5342,8053,63.03,42.41,China,39.04
"Teacher, secondary school",Transportation,Increasing,Moderate,66723.67,Masters Degree,10,955,6438,43.83,51.61,Germany,21.04
"Engineer, aeronautical",IT,Increasing,High,93188.28,Bachelors Degree,15,3866,5774,86.69,47.26,Brazil,58.89
"Administrator, charities/voluntary organisations",Entertainment,Decreasing,Moderate,75068.01,Bachelors Degree,10,7686,1196,48.23,74.09,India,39.07
"Lecturer, higher education",Retail,Increasing,Moderate,43011.59,Masters Degree,0,820,3043,76.34,64.82,USA,43.34
Oncologist,Retail,Decreasing,Moderate,66485.31,Bachelors Degree,17,8494,9292,45.68,62.71,Brazil,34.34
Animal nutritionist,Entertainment,Increasing,Moderate,94420.86,PhD,17,7429,8737,67.15,55.88,Australia,43.67
Chief Executive Officer,Education,Decreasing,High,54306.46,High School,19,5667,6684,40.47,76.39,USA,43.78
Systems analyst,Finance,Decreasing,Moderate,43385.8,High School,5,1048,291,55.68,66.81,USA,68.59
Print production planner,Finance,Increasing,High,72212.73,PhD,1,1101,8607,93.31,58.21,Australia,76.91
Politician's assistant,Finance,Increasing,Low,80331.26,High School,16,5044,8571,84.47,53.36,India,72.15
Higher education lecturer,Education,Decreasing,High,65654.44,Associate Degree,19,8441,6076,68.39,66.14,USA,64.85
Energy engineer,Retail,Decreasing,Low,69177.19,Associate Degree,19,7487,5558,63.71,58.82,Brazil,77.67
Copy,Retail,Decreasing,High,88142.25,Masters Degree,18,7081,8053,40.71,68.85,UK,51.03
Magazine features editor,Manufacturing,Decreasing,Low,68676.24,High School,17,2462,200,49.62,82.69,Canada,51.25
Airline pilot,IT,Decreasing,Low,85505.43,Masters Degree,2,8698,8206,72.98,17.51,Australia,44.44
"Radiographer, therapeutic",Retail,Decreasing,Moderate,29182.95,Associate Degree,3,9956,1371,40.78,78.64,UK,40.63
Commercial art gallery manager,Manufacturing,Decreasing,High,111398.91,PhD,15,8822,2188,66.44,48.61,USA,59.99
Futures trader,Transportation,Increasing,High,46482.94,High School,11,2180,6617,57.72,69.17,Brazil,29.47
Nutritional therapist,Education,Decreasing,Low,29055.78,High School,4,9476,3743,26.36,72.27,UK,71.66
Tourist information centre manager,Manufacturing,Increasing,High,52018.73,Masters Degree,0,1813,7870,63.85,63.42,Australia,39.52
Dancer,Entertainment,Decreasing,Moderate,50221.87,High School,11,694,1310,54.48,90.67,UK,55.93
Engineering geologist,Transportation,Decreasing,High,56751.29,Bachelors Degree,6,4826,4118,39.1,59.77,Canada,55.98
Meteorologist,Healthcare,Decreasing,Low,76947.03,Associate Degree,13,6916,3571,50.96,63.41,India,66.76
Air traffic controller,Manufacturing,Increasing,Low,96296.38,PhD,12,2501,4700,45.98,37.57,Australia,32.27
Adult guidance worker,Transportation,Decreasing,High,83082.98,Masters Degree,10,8566,1866,31.53,76.51,Canada,40.04
Manufacturing engineer,Retail,Increasing,High,62599.82,PhD,9,4096,9100,77.51,73.03,Brazil,75.57
Accounting technician,Finance,Decreasing,High,91890.2,Bachelors Degree,17,4155,3207,99.56,46.88,Canada,72.4
"Engineer, water",Entertainment,Decreasing,High,93432.02,Masters Degree,18,6715,5367,56.34,72.99,USA,44.99
Retail manager,Retail,Decreasing,High,48239.09,Masters Degree,5,7463,8288,65.66,72.12,Brazil,75.26
Market researcher,Entertainment,Decreasing,Low,106775.66,PhD,17,8700,9017,45.19,56.09,UK,51.64
"Designer, interior/spatial",Healthcare,Increasing,Low,79363.88,PhD,3,147,1432,74.9,1.09,USA,77.17
Podiatrist,Education,Increasing,High,47266.63,Associate Degree,8,5513,8375,55.59,86.42,Canada,76.93
"Psychologist, counselling",IT,Increasing,Moderate,96766.34,Masters Degree,13,4028,7959,70.33,42.63,China,56.18
Learning mentor,Entertainment,Decreasing,High,97037.42,Masters Degree,13,5254,2041,63.7,60.39,USA,55.68
Architectural technologist,Transportation,Increasing,High,70285.78,High School,16,2682,4035,55.64,76.5,Brazil,72.01
"Surveyor, building control",Manufacturing,Increasing,Low,110081.27,PhD,19,7479,7734,54.43,42.41,UK,71.54
Public house manager,Manufacturing,Decreasing,Moderate,56351.87,Bachelors Degree,6,7602,9272,33.21,54.75,China,67.16
